[INFO][2018-03-22 16:58:24.977518][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:30.266711][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:35.468493][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:40.575902][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:45.865541][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:51.040301][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:56.216249][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:59:01.377527][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:59:06.476842][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:59:11.652263][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:59:16.741318][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:59:16.741401][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:31:14.416846][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:31:46.977889][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:31:57.129525][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:02.329347][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:08.069260][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:13.046532][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:18.097488][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:23.149522][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:28.193367][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:33.032218][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:37.965532][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:42.864386][ Manual ]Contacted? (y/n)
[INFO][2018-03-23 15:32:47.869049][ Manual ]Contacted? (y/n)
